,profile_pic,rel_num_numeric_char_username,words_fullname,rel_num_numeric_char_fullname,name=username,description_length,has_external_url,is_private,num_posts,num_followers,num_follows,is_fake
430,no,0.09,1,0.0,no,0,no,no,0,32,87,yes
431,no,0.25,1,0.0,no,0,no,yes,0,0,11,yes
432,yes,0.13,1,0.0,no,0,no,yes,8,40,66,yes
433,no,0.33,1,0.33,yes,20,no,no,2,53,303,yes
434,yes,0.14,2,0.0,no,0,no,no,10,67,90,yes
435,yes,0.0,3,0.0,no,0,no,no,29,122,336,yes
436,no,0.0,2,0.0,no,0,no,no,0,18,49,yes
437,no,0.4,1,0.0,no,0,no,yes,0,24,88,yes
438,yes,0.0,1,0.0,no,0,no,no,2,35,136,yes
439,yes,0.4,1,0.4,yes,0,no,yes,3,119,151,yes
440,yes,0.1,1,0.0,no,0,no,yes,5,6,24,yes
441,no,0.43,1,0.4,no,0,no,no,0,34,26,yes
442,yes,0.0,3,0.0,no,148,no,no,63,272,295,yes
443,yes,0.44,2,0.0,no,0,no,no,1,53,137,yes
444,yes,0.33,0,0.0,no,50,no,yes,4,818,618,yes
445,yes,0.0,3,0.0,no,0,no,no,34,82,74,yes
446,yes,0.38,2,0.0,no,2,no,no,0,40,233,yes
447,yes,0.4,0,0.0,no,0,no,yes,0,21,76,yes
448,yes,0.33,1,0.0,no,0,no,no,6,59,38,yes
449,yes,0.12,1,0.0,no,0,no,no,2,102,109,yes
450,yes,0.29,0,0.0,no,0,no,yes,7,576,474,yes
451,no,0.57,2,0.4,no,0,no,no,0,19,16,yes
452,yes,0.0,0,0.0,no,0,no,yes,0,66,161,yes
453,yes,0.0,1,0.0,no,0,no,yes,5,310,894,yes
454,yes,0.0,1,0.0,yes,34,no,yes,0,16,17,yes
455,no,0.0,1,0.0,no,0,no,no,0,15,4,yes
456,yes,0.07,1,0.0,no,0,no,yes,0,47,98,yes
457,yes,0.0,1,0.0,yes,0,no,no,4,88,61,yes
458,yes,0.27,1,0.0,no,0,no,yes,1,51,59,yes
459,yes,0.0,2,0.0,no,0,no,no,26,505,2330,yes
460,yes,0.36,1,0.0,no,0,no,no,9,159,433,yes
461,yes,0.29,1,0.33,no,0,no,yes,4,77,1269,yes
462,yes,0.83,1,0.0,no,32,no,no,4,61,76,yes
463,no,0.67,1,0.0,no,0,no,yes,0,7,14,yes
464,yes,0.38,1,0.33,no,0,no,yes,0,11,60,yes
465,no,0.58,1,0.0,no,0,no,no,0,49,22,yes
466,no,0.0,1,0.0,no,0,no,no,0,15,595,yes
467,yes,0.2,2,0.0,no,0,no,no,1,1,9,yes
468,no,0.0,1,0.0,no,0,no,no,0,17,1,yes
469,no,0.29,2,0.0,no,0,no,no,0,15,1,yes
470,yes,0.25,1,0.0,no,59,no,no,28,358,1990,yes
471,no,0.25,1,0.0,no,0,no,no,0,20,7,yes
472,no,0.0,1,0.0,no,6,no,no,1,50,32,yes
473,no,0.0,1,0.0,no,0,no,no,0,57,76,yes
474,no,0.31,1,0.0,no,0,no,no,2,12,15,yes
475,yes,0.67,1,0.0,no,0,no,no,2,218,792,yes
476,no,0.33,1,0.25,no,0,no,no,9,78,98,yes
477,no,0.47,1,0.0,no,0,no,no,1,16,23,yes
478,no,0.36,1,0.0,no,0,no,no,8,39,17,yes
479,no,0.0,1,0.0,no,0,no,no,0,15,1,yes
480,no,0.4,0,0.0,no,0,no,no,0,30,48,yes
481,no,0.33,1,0.0,no,0,no,no,0,85,638,yes
482,no,0.33,1,0.0,no,0,no,no,0,,747,yes
483,no,0.55,2,0.0,no,0,no,no,0,49,82,yes
484,no,0.27,1,0.27,yes,0,no,no,0,16,24,yes
485,no,0.44,1,0.0,no,0,no,no,0,8,6,yes
486,no,0.44,1,0.0,no,0,no,no,2,34,22,yes
487,no,0.47,1,0.0,no,0,no,no,2,45,83,yes
488,no,0.33,1,0.0,no,0,no,no,0,49,0,yes
489,no,0.0,2,0.0,no,0,no,no,0,15,5,yes
490,no,0.25,1,0.0,no,0,no,no,0,92,403,yes
491,yes,0.91,1,0.0,no,0,no,no,0,75,26,yes
492,no,0.44,1,0.0,no,0,no,no,0,10,0,yes
493,yes,0.12,1,0.0,no,1,no,no,0,23,26,yes
494,no,0.2,1,0.0,no,0,no,no,0,22,11,yes
495,no,0.24,2,0.0,no,0,no,no,0,55,46,yes
496,no,0.27,1,0.0,no,0,no,no,0,16,0,yes
497,no,0.25,1,0.0,no,0,no,no,0,7,20,yes
498,no,0.28,1,0.24,no,0,no,no,0,86,0,yes
499,no,0.38,1,0.0,no,0,no,no,0,3,11,yes
500,no,0.57,2,0.0,no,0,no,no,0,12,30,yes
501,yes,0.44,1,0.0,no,0,no,no,1,14,56,yes
502,no,0.47,1,0.0,no,0,no,no,0,24,22,yes
503,no,0.0,2,0.0,no,0,no,no,0,52,1,yes
504,no,0.44,1,0.0,no,0,no,no,1,16,27,yes
505,no,0.44,1,0.0,no,0,no,no,4,17,20,yes
506,no,0.57,2,0.0,no,0,no,no,0,50,49,yes
507,no,0.54,1,0.0,no,0,no,no,5,136,1029,yes
508,yes,0.43,1,0.0,no,0,no,no,10,178,1417,yes
509,no,0.89,0,0.0,no,0,no,no,1,50,39,yes
510,yes,0.38,1,0.0,no,0,no,no,2,207,2426,yes
511,no,0.36,1,0.0,no,0,no,yes,0,178,828,yes
512,no,0.0,1,0.0,yes,0,no,no,0,16,26,yes
513,no,0.14,1,0.0,no,0,no,no,0,49,2,yes
514,no,0.2,1,0.33,no,0,no,no,2,49,12,yes
515,no,0.1,0,0.0,no,0,no,no,0,37,4,yes
516,no,0.5,1,0.4,no,0,no,no,0,21,0,yes
517,yes,0.58,1,0.44,no,0,no,no,21,356,2176,yes
518,no,0.44,2,0.0,no,0,no,no,0,46,4,yes
519,no,0.22,1,0.33,no,0,no,no,0,49,0,yes
520,no,0.0,1,0.0,no,0,no,no,0,49,58,yes
521,no,0.0,1,0.0,no,0,no,no,0,44,45,yes
522,no,0.13,2,0.0,no,0,no,no,0,42,240,yes
523,no,0.38,1,0.33,no,0,no,no,0,47,9,yes
524,no,0.1,2,0.0,no,0,no,no,0,48,1,yes
525,yes,0.91,1,0.0,no,0,no,no,0,75,26,yes
526,no,0.08,1,0.0,no,0,no,no,0,115,289,yes
527,no,0.88,1,1.0,no,0,no,no,5,53,66,yes
528,no,0.67,1,0.0,no,0,no,no,0,32,23,yes
529,no,0.44,1,0.0,no,0,no,no,0,39,153,yes
530,no,0.18,1,0.0,no,0,no,no,0,3033,1155,yes
531,no,0.25,1,0.0,no,0,no,no,0,3003,825,yes
532,no,0.88,1,1.0,no,0,no,no,1,34,36,yes
533,no,0.36,1,0.0,no,0,no,no,37,218,1528,yes
534,yes,0.33,2,0.22,no,0,no,no,8,210,1543,yes
535,yes,0.2,2,0.0,no,19,no,no,4,1489,3715,yes
536,no,0.5,1,0.5,yes,0,no,no,0,10,2,yes
537,no,0.33,1,0.0,no,0,no,no,28,201,812,yes
538,no,0.0,2,0.0,no,0,no,no,0,351,2663,yes
539,no,0.43,1,0.0,no,0,no,no,0,52,16,yes
540,no,0.25,1,0.18,no,0,no,no,6,156,423,yes
541,no,0.43,2,0.0,no,0,no,no,12,85,477,yes
542,no,0.24,1,0.0,no,0,no,no,0,35,38,yes
543,no,0.44,1,0.0,no,0,no,no,0,55,28,yes
544,no,0.27,2,0.0,no,43,no,yes,0,16,51,yes
545,no,0.38,1,0.0,no,0,no,no,0,43,88,yes
546,no,0.4,1,0.0,no,0,no,no,2,97,408,yes
547,no,0.57,1,0.57,yes,0,no,no,2,34,112,yes
548,no,0.0,1,0.0,yes,0,no,no,0,2346,7272,yes
549,no,0.25,1,0.0,no,0,no,no,0,49,95,yes
550,yes,0.19,0,0.0,no,0,no,yes,2,2,55,yes
551,no,0.46,1,0.46,yes,0,no,no,2,40,19,yes
552,no,0.46,1,0.0,no,0,no,yes,0,332,1333,yes
553,no,0.73,1,0.0,no,0,no,no,0,14,542,yes
554,yes,0.6,1,0.5,no,0,no,no,12,65,162,yes
555,yes,0.46,1,0.5,no,0,no,no,1,20,52,yes
556,no,0.31,1,0.31,yes,0,no,no,0,26,27,yes
557,yes,0.43,1,0.43,no,0,no,no,0,72,434,yes
558,yes,0.0,1,0.0,no,0,no,no,1,55,2,yes
559,yes,0.5,1,0.4,no,33,no,no,12,77,108,yes
560,yes,0.0,4,0.25,no,0,no,yes,59,31,215,yes
561,no,0.86,2,0.18,no,0,no,no,0,57,130,yes
562,no,0.62,1,0.0,no,0,no,yes,0,58,347,yes
563,yes,0.33,2,0.0,no,0,no,no,23,47,139,yes
564,yes,0.16,1,0.12,no,43,no,no,3,31,37,yes
565,yes,0.92,1,1.0,no,0,no,no,11,96,242,yes
566,yes,0.27,1,0.0,no,19,no,no,8,126,860,yes
567,yes,0.25,1,0.0,no,0,no,yes,102,39,229,yes
568,yes,0.43,1,0.0,no,5,no,no,6,66,161,yes
569,yes,0.31,3,0.0,no,0,no,no,25,87,698,yes
570,yes,0.2,1,0.0,no,28,no,no,0,15,64,yes
571,yes,0.55,1,0.44,no,0,no,no,33,,596,yes
572,yes,0.38,1,0.33,no,21,no,no,44,66,75,yes
573,yes,0.57,2,0.0,no,0,no,no,4,96,339,yes
574,yes,0.57,1,0.0,no,11,no,no,0,57,73,yes
575,yes,0.27,1,0.0,no,0,no,no,2,150,487,yes
